context_conditions,n_context_conditions,occurrence_id,setup_def_version,tf,session_globex_day,segment_id,direction,origin_family,origin_object_id,origin_extreme,trigger_object_id,trigger_index,C_index,trigger_ts_et,availability_et,entry,structural_stop,structural_target,target_kind,risk_points,risk_atr,target_R,expiry_E_bars,resolve_H_1m,exact_graph,reduced_graph,broad_family,structural_score,sc_context_coherence,sc_trigger_clarity,sc_displacement_quality,sc_freshness,sc_invalidation_clarity,sc_target_room,sc_contradiction,primitive_ids,outcome,entry_fill_et,resolution_et,realized_R,favorable,mfe_R,mae_R,time_to_target_min,time_to_invalidation_min,target_still_valid,feat_direction,feat_session,feat_origin_family,feat_time_anchor,feat_displacement_atr,feat_path_efficiency,feat_fvg_tf,feat_fvg_width_atr,feat_vwap_side,feat_nearest_vwap_band,feat_nearest_band_dist_atr,feat_level_family,feat_target_distance_R,feat_opposing_distance_atr,feat_volatility_bucket,feat_risk_atr,prior_global_p,prior_global_R,exact_n,exact_wins,exact_losses,exact_fav_rate,exact_mean_R,reduced_n,reduced_fav_rate,reduced_mean_R,broad_n,broad_fav_rate,broad_mean_R,global_n,w_exact,w_reduced,w_broad,shrunk_favorable_probability,shrunk_expected_R,evidence_count,effective_sample_size,uncertainty_halfwidth,final_predicted_class
origin=FVG_FAILURE | anchor=off_anchor | vwap_below,3,OC-5m-20260706T0410-S-FVG,cg-recognizer-v1.0.0,5m,2026-07-06,6,short,FVG_FAILURE,FVG-5m-bull-20260706T0345,29866.25,FVG-5m-bear-20260706T0415,35945,35946,2026-07-06 04:10:00-04:00,2026-07-06 04:20:00-04:00,29825.0,29861.75,29781.651154648647,vwap_band,36.75,1.443,1.18,20,120,FVG_FAILURE(20260706T0345)|short|5m->DISP->FVG_bear->FILL,ORIGIN_FVG_FAILURE|short|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|short,68.49,1.0,0.5723,0.6773,1.0,0.7074,0.3932,0.0,ORIGIN:FVG-5m-bull-20260706T0345 ; TRIGGER_FVG:FVG-5m-bear-20260706T0415,LOSS,2026-07-06 04:22:00-04:00,2026-07-06 04:56:00-04:00,-1.0,False,0.503,1.116,,34.0,True,short,2026-07-06,FVG_FAILURE,off_anchor,1.905,0.355,5m,1.443,below,-1.0,1.702,,1.18,1.702,normal,1.443,0.7818,0.3014,0,0,0,,,163,0.7239,0.2257,213,0.7324,0.2431,660,0.0,0.891,0.842,0.7257,0.2286,0.0,163.0,0.0685,FAVORABLE
origin=VWAP_BAND | anchor=off_anchor | vwap_below,3,OC-15m-20260706T0415-L-VWA,cg-recognizer-v1.0.0,15m,2026-07-06,6,long,VWAP_BAND,VWAP-1.0-2026-07-06,29781.587564639805,FVG-15m-bull-20260706T0445,11982,11984,2026-07-06 04:15:00-04:00,2026-07-06 05:00:00-04:00,29838.5,29833.25,29848.25,level,5.25,0.11,1.857,20,120,VWAP_BAND(06)|long|15m->DISP->FVG_bull->FILL,ORIGIN_VWAP_BAND|long|15m->DISPLACEMENT->FVG_RETEST,VWAP_BAND|long,59.81,1.0,0.5709,0.4631,1.0,0.4357,0.619,0.795,ORIGIN:VWAP-1.0-2026-07-06 ; TRIGGER_FVG:FVG-15m-bull-20260706T0445,LOSS,2026-07-06 05:48:00-04:00,2026-07-06 05:48:00-04:00,-1.0,False,0.81,2.095,,0.0,True,long,2026-07-06,VWAP_BAND,off_anchor,0.899,0.327,15m,0.11,below,-1.0,1.192,,1.857,0.205,normal,0.11,0.7818,0.3014,0,0,0,,,45,0.8444,0.0164,111,0.8919,0.2172,660,0.0,0.692,0.735,0.8501,0.085,0.0,45.0,0.1043,NEUTRAL
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-5m-20260706T0655-L-FVG,cg-recognizer-v1.0.0,5m,2026-07-06,6,long,FVG_FAILURE,FVG-5m-bear-20260706T0645,29869.0,FVG-5m-bull-20260706T0720,35978,35983,2026-07-06 06:55:00-04:00,2026-07-06 07:25:00-04:00,29867.75,29859.75,29877.0,level,8.0,0.397,1.156,20,120,FVG_FAILURE(20260706T0645)|long|5m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,68.431,1.0,0.9973,0.471,1.0,0.8622,0.3854,0.5412,ORIGIN:FVG-5m-bear-20260706T0645 ; TRIGGER_FVG:FVG-5m-bull-20260706T0720,WIN,2026-07-06 08:02:00-04:00,2026-07-06 08:02:00-04:00,1.15625,True,4.562,0.281,0.0,,True,long,2026-07-06,FVG_FAILURE,off_anchor,0.93,0.322,5m,0.397,above,+1.0,3.495,,1.156,0.459,normal,0.397,0.7818,0.3014,0,0,0,,,173,0.7457,0.3527,230,0.7696,0.3516,660,0.0,0.896,0.852,0.7483,0.3519,0.0,173.0,0.0647,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-5m-20260706T0700-S-FVG,cg-recognizer-v1.0.0,5m,2026-07-06,6,short,FVG_FAILURE,FVG-5m-bull-20260706T0555,29874.5,FVG-5m-bear-20260706T0705,35979,35980,2026-07-06 07:00:00-04:00,2026-07-06 07:10:00-04:00,29862.0,29864.75,29861.6162867533,vwap,2.75,0.133,0.14,20,120,FVG_FAILURE(20260706T0555)|short|5m->DISP->FVG_bear->FILL,ORIGIN_FVG_FAILURE|short|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|short,49.075,1.0,0.6335,0.3519,1.0,0.4984,0.0465,0.9814,ORIGIN:FVG-5m-bull-20260706T0555 ; TRIGGER_FVG:FVG-5m-bear-20260706T0705,WIN,2026-07-06 07:15:00-04:00,2026-07-06 07:15:00-04:00,0.13953208970964293,True,2.636,0.0,0.0,,True,short,2026-07-06,FVG_FAILURE,off_anchor,0.775,0.187,5m,0.133,above,+1.0,3.708,,0.14,0.019,normal,0.133,0.7818,0.3014,0,0,0,,,163,0.7239,0.2257,213,0.7324,0.2431,660,0.0,0.891,0.842,0.7257,0.2286,0.0,163.0,0.0685,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-5m-20260706T0700-S-FVG,cg-recognizer-v1.0.0,5m,2026-07-06,6,short,FVG_FAILURE,FVG-5m-bull-20260706T0655,29864.75,FVG-5m-bear-20260706T0705,35979,35980,2026-07-06 07:00:00-04:00,2026-07-06 07:10:00-04:00,29862.0,29864.75,29861.6162867533,vwap,2.75,0.133,0.14,20,120,FVG_FAILURE(20260706T0655)|short|5m->DISP->FVG_bear->FILL,ORIGIN_FVG_FAILURE|short|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|short,49.075,1.0,0.6335,0.3519,1.0,0.4984,0.0465,0.9814,ORIGIN:FVG-5m-bull-20260706T0655 ; TRIGGER_FVG:FVG-5m-bear-20260706T0705,WIN,2026-07-06 07:15:00-04:00,2026-07-06 07:15:00-04:00,0.13953208970964293,True,2.636,0.0,0.0,,True,short,2026-07-06,FVG_FAILURE,off_anchor,0.775,0.187,5m,0.133,above,+1.0,3.708,,0.14,0.019,normal,0.133,0.7818,0.3014,0,0,0,,,163,0.7239,0.2257,213,0.7324,0.2431,660,0.0,0.891,0.842,0.7257,0.2286,0.0,163.0,0.0685,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-5m-20260706T0715-L-FVG,cg-recognizer-v1.0.0,5m,2026-07-06,6,long,FVG_FAILURE,FVG-5m-bear-20260706T0705,29864.75,FVG-5m-bull-20260706T0720,35982,35983,2026-07-06 07:15:00-04:00,2026-07-06 07:25:00-04:00,29867.75,29859.75,29877.0,level,8.0,0.397,1.156,20,120,FVG_FAILURE(20260706T0705)|long|5m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,68.431,1.0,0.9973,0.471,1.0,0.8622,0.3854,0.5412,ORIGIN:FVG-5m-bear-20260706T0705 ; TRIGGER_FVG:FVG-5m-bull-20260706T0720,WIN,2026-07-06 08:02:00-04:00,2026-07-06 08:02:00-04:00,1.15625,True,4.562,0.281,0.0,,True,long,2026-07-06,FVG_FAILURE,off_anchor,0.93,0.322,5m,0.397,above,+1.0,3.495,,1.156,0.459,normal,0.397,0.7818,0.3014,0,0,0,,,173,0.7457,0.3527,230,0.7696,0.3516,660,0.0,0.896,0.852,0.7483,0.3519,0.0,173.0,0.0647,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-5m-20260706T0805-L-FVG,cg-recognizer-v1.0.0,5m,2026-07-06,6,long,FVG_FAILURE,FVG-5m-bear-20260705T2105,29914.5,FVG-5m-bull-20260706T0810,35992,35993,2026-07-06 08:05:00-04:00,2026-07-06 08:15:00-04:00,29922.25,29916.0,29924.25,level,6.25,0.251,0.32,20,120,FVG_FAILURE(20260705T2105)|long|5m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,65.994,1.0,0.8445,0.7692,1.0,0.7094,0.1067,0.9197,ORIGIN:FVG-5m-bear-20260705T2105 ; TRIGGER_FVG:FVG-5m-bull-20260706T0810,WIN,2026-07-06 08:17:00-04:00,2026-07-06 08:17:00-04:00,0.32,True,1.28,0.12,0.0,,True,long,2026-07-06,FVG_FAILURE,off_anchor,2.108,0.538,5m,0.251,above,+1.0,0.659,,0.32,0.08,normal,0.251,0.7818,0.3014,0,0,0,,,173,0.7457,0.3527,230,0.7696,0.3516,660,0.0,0.896,0.852,0.7483,0.3519,0.0,173.0,0.0647,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-5m-20260706T0820-S-FVG,cg-recognizer-v1.0.0,5m,2026-07-06,6,short,FVG_FAILURE,FVG-5m-bull-20260706T0810,29922.25,FVG-5m-bear-20260706T0825,35995,35996,2026-07-06 08:20:00-04:00,2026-07-06 08:30:00-04:00,29896.0,29914.5,29884.5,level,18.5,0.729,0.622,20,120,FVG_FAILURE(20260706T0810)|short|5m->DISP->FVG_bear->FILL,ORIGIN_FVG_FAILURE|short|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|short,69.508,1.0,0.7999,0.7114,1.0,0.9351,0.2072,0.5468,ORIGIN:FVG-5m-bull-20260706T0810 ; TRIGGER_FVG:FVG-5m-bear-20260706T0825,LOSS,2026-07-06 08:30:00-04:00,2026-07-06 08:37:00-04:00,-1.0,False,0.5,1.432,,7.0,True,short,2026-07-06,FVG_FAILURE,off_anchor,1.537,0.423,5m,0.729,above,+1.0,1.694,,0.622,0.453,normal,0.729,0.7818,0.3014,0,0,0,,,163,0.7239,0.2257,213,0.7324,0.2431,660,0.0,0.891,0.842,0.7257,0.2286,0.0,163.0,0.0685,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_above,3,OC-5m-20260706T0835-L-FVG,cg-recognizer-v1.0.0,5m,2026-07-06,6,long,FVG_FAILURE,FVG-5m-bear-20260706T0825,29914.5,FVG-5m-bull-20260706T0855,35998,36002,2026-07-06 08:35:00-04:00,2026-07-06 09:00:00-04:00,29922.75,29910.75,29924.25,level,12.0,0.447,0.125,20,120,FVG_FAILURE(20260706T0825)|long|5m->DISP->FVG_bull->FILL,ORIGIN_FVG_FAILURE|long|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|long,67.452,1.0,0.9629,0.7234,1.0,0.902,0.0417,0.9441,ORIGIN:FVG-5m-bear-20260706T0825 ; TRIGGER_FVG:FVG-5m-bull-20260706T0855,WIN,2026-07-06 09:00:00-04:00,2026-07-06 09:00:00-04:00,0.125,True,1.271,0.062,0.0,,True,long,2026-07-06,FVG_FAILURE,off_anchor,1.248,0.615,5m,0.447,above,+1.0,0.634,,0.125,0.056,normal,0.447,0.7818,0.3014,0,0,0,,,173,0.7457,0.3527,230,0.7696,0.3516,660,0.0,0.896,0.852,0.7483,0.3519,0.0,173.0,0.0647,FAVORABLE
origin=FVG_FAILURE | anchor=0900 | vwap_above,3,OC-5m-20260706T0900-S-FVG,cg-recognizer-v1.0.0,5m,2026-07-06,6,short,FVG_FAILURE,FVG-5m-bull-20260706T0855,29922.75,FVG-5m-bear-20260706T0905,36003,36004,2026-07-06 09:00:00-04:00,2026-07-06 09:10:00-04:00,29903.75,29922.75,29903.25,level,19.0,0.652,0.026,20,120,FVG_FAILURE(20260706T0855)|short|5m->DISP->FVG_bear->FILL,ORIGIN_FVG_FAILURE|short|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|short,67.006,1.0,0.8374,0.7801,1.0,0.9725,0.0088,0.9829,ORIGIN:FVG-5m-bull-20260706T0855 ; TRIGGER_FVG:FVG-5m-bear-20260706T0905,WIN,2026-07-06 09:32:00-04:00,2026-07-06 09:32:00-04:00,0.02631578947368421,True,2.829,0.553,0.0,,True,short,2026-07-06,FVG_FAILURE,0900,1.475,0.577,5m,0.652,above,+1.0,1.243,,0.026,0.017,normal,0.652,0.7818,0.3014,0,0,0,,,163,0.7239,0.2257,213,0.7324,0.2431,660,0.0,0.891,0.842,0.7257,0.2286,0.0,163.0,0.0685,FAVORABLE
origin=FVG_FAILURE | anchor=off_anchor | vwap_below,3,OC-5m-20260706T0910-S-FVG,cg-recognizer-v1.0.0,5m,2026-07-06,6,short,FVG_FAILURE,FVG-5m-bull-20260706T0720,29867.75,FVG-5m-bear-20260706T0915,36005,36006,2026-07-06 09:10:00-04:00,2026-07-06 09:20:00-04:00,29865.0,29889.0,29826.75,level,24.0,0.904,1.594,20,120,FVG_FAILURE(20260706T0720)|short|5m->DISP->FVG_bear->FILL,ORIGIN_FVG_FAILURE|short|5m->DISPLACEMENT->FVG_RETEST,FVG_FAILURE|short,78.36,1.0,0.7283,0.8333,1.0,0.8634,0.5312,0.0,ORIGIN:FVG-5m-bull-20260706T0720 ; TRIGGER_FVG:FVG-5m-bear-20260706T0915,WIN,2026-07-06 09:30:00-04:00,2026-07-06 09:30:00-04:00,1.59375,True,3.698,0.5,0.0,,True,short,2026-07-06,FVG_FAILURE,off_anchor,2.241,0.667,5m,0.904,below,-1.0,2.67,,1.594,1.44,normal,0.904,0.7818,0.3014,0,0,0,,,163,0.7239,0.2257,213,0.7324,0.2431,660,0.0,0.891,0.842,0.7257,0.2286,0.0,163.0,0.0685,FAVORABLE
