branch_id,episode_id,parent_branch_id,hypothesis_id,continuation_or_fade,terminal_status,terminal_reason,n_events
GBR-006756,GEP-001532,GBR-006752,H_fvg_full_fill,continuation,EMITTED,fvg_fill,2
GBR-006757,GEP-001508,GBR-006643,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006758,GEP-001508,GBR-006643,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006759,GEP-001508,GBR-006643,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006760,GEP-001533,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006761,GEP-001533,GBR-006760,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006762,GEP-001509,GBR-006645,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006763,GEP-001509,GBR-006645,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006764,GEP-001509,GBR-006645,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006765,GEP-001534,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006766,GEP-001534,GBR-006765,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006767,GEP-001535,,H_rb_reaction_continuation,continuation,INVALIDATED,origin_invalidated,2
GBR-006768,GEP-001535,GBR-006767,H_rb_fvg_fill_continuation,continuation,INVALIDATED,origin_invalidated,2
GBR-006769,GEP-001535,GBR-006767,H_rb_unresolved_fade,fade,INVALIDATED,origin_invalidated,2
GBR-006770,GEP-001536,GBR-006752,H_ifvg_immediate,fade,EMITTED,ifvg_activation,3
GBR-006771,GEP-001536,GBR-006752,H_ifvg_next_bar,fade,EMITTED,ifvg_activation,3
GBR-006772,GEP-001536,GBR-006752,H_ifvg_retest,fade,EMITTED,ifvg_retest,4
GBR-006773,GEP-001537,,H_fvg_no_fill_continuation,continuation,EMITTED,fvg_no_fill,2
GBR-006774,GEP-001537,GBR-006773,H_fvg_first_touch,continuation,EMITTED,fvg_fill,2
GBR-006775,GEP-001537,GBR-006773,H_fvg_first_fill,continuation,EMITTED,fvg_fill,2
GBR-006776,GEP-001537,GBR-006773,H_fvg_midpoint,continuation,EMITTED,fvg_fill,2
GBR-006777,GEP-001537,GBR-006773,H_fvg_full_fill,continuation,EMITTED,fvg_fill,2
GBR-006778,GEP-001538,,H_fvg_no_fill_continuation,continuation,EMITTED,fvg_no_fill,2
GBR-006779,GEP-001538,GBR-006778,H_fvg_first_touch,continuation,EMITTED,fvg_fill,2
GBR-006780,GEP-001538,GBR-006778,H_fvg_first_fill,continuation,EMITTED,fvg_fill,2
GBR-006781,GEP-001538,GBR-006778,H_fvg_midpoint,continuation,EMITTED,fvg_fill,2
GBR-006782,GEP-001538,GBR-006778,H_fvg_full_fill,continuation,EMITTED,fvg_fill,2
GBR-006783,GEP-001539,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006784,GEP-001539,GBR-006783,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006785,GEP-001540,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006786,GEP-001540,GBR-006785,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006787,GEP-001541,,H_fvg_no_fill_continuation,continuation,INVALIDATED,opposing_move,1
GBR-006788,GEP-001541,GBR-006787,H_fvg_first_touch,continuation,EMITTED,fvg_fill,2
GBR-006789,GEP-001541,GBR-006787,H_fvg_first_fill,continuation,EMITTED,fvg_fill,2
GBR-006790,GEP-001541,GBR-006787,H_fvg_midpoint,continuation,EMITTED,fvg_fill,2
GBR-006791,GEP-001541,GBR-006787,H_fvg_full_fill,continuation,EMITTED,fvg_fill,2
GBR-006792,GEP-001542,,H_fvg_no_fill_continuation,continuation,INVALIDATED,context_invalidated,1
GBR-006793,GEP-001542,GBR-006792,H_fvg_first_touch,continuation,EMITTED,fvg_fill,2
GBR-006794,GEP-001542,GBR-006792,H_fvg_first_fill,continuation,EMITTED,fvg_fill,2
GBR-006795,GEP-001542,GBR-006792,H_fvg_midpoint,continuation,EMITTED,fvg_fill,2
GBR-006796,GEP-001542,GBR-006792,H_fvg_full_fill,continuation,EMITTED,fvg_fill,2
GBR-006797,GEP-001527,GBR-006734,H_anchor_reclaim_continuation,continuation,EMITTED,anchor_reclaim,1
GBR-006798,GEP-001543,GBR-006729,H_ifvg_immediate,fade,EMITTED,ifvg_activation,3
GBR-006799,GEP-001543,GBR-006729,H_ifvg_next_bar,fade,EMITTED,ifvg_activation,3
GBR-006800,GEP-001543,GBR-006729,H_ifvg_retest,fade,EMITTED,ifvg_retest,4
GBR-006801,GEP-001544,GBR-006739,H_ifvg_immediate,fade,EMITTED,ifvg_activation,3
GBR-006802,GEP-001544,GBR-006739,H_ifvg_next_bar,fade,EMITTED,ifvg_activation,3
GBR-006803,GEP-001544,GBR-006739,H_ifvg_retest,fade,EMITTED,ifvg_retest,4
GBR-006804,GEP-001545,,H_fvg_no_fill_continuation,continuation,INVALIDATED,context_invalidated,1
GBR-006805,GEP-001545,GBR-006804,H_fvg_first_touch,continuation,EMITTED,fvg_fill,2
GBR-006806,GEP-001545,GBR-006804,H_fvg_first_fill,continuation,EMITTED,fvg_fill,2
GBR-006807,GEP-001545,GBR-006804,H_fvg_midpoint,continuation,EMITTED,fvg_fill,2
GBR-006808,GEP-001545,GBR-006804,H_fvg_full_fill,continuation,EMITTED,fvg_fill,2
GBR-006809,GEP-001527,GBR-006734,H_time_anchor_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006810,GEP-001527,GBR-006734,H_time_anchor_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006811,GEP-001527,GBR-006734,H_time_anchor_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006812,GEP-001546,,H_rb_reaction_continuation,continuation,INVALIDATED,opposing_move,2
GBR-006813,GEP-001546,GBR-006812,H_rb_fvg_fill_continuation,continuation,INVALIDATED,opposing_move,2
GBR-006814,GEP-001546,GBR-006812,H_rb_unresolved_fade,fade,INVALIDATED,origin_invalidated,2
GBR-006815,GEP-001547,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006816,GEP-001547,GBR-006815,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006817,GEP-001548,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006818,GEP-001548,GBR-006817,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006819,GEP-001549,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006820,GEP-001549,GBR-006819,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006821,GEP-001550,,H_fvg_no_fill_continuation,continuation,INVALIDATED,context_invalidated,1
GBR-006822,GEP-001550,GBR-006821,H_fvg_first_touch,continuation,EMITTED,fvg_fill,2
GBR-006823,GEP-001550,GBR-006821,H_fvg_first_fill,continuation,EMITTED,fvg_fill,2
GBR-006824,GEP-001550,GBR-006821,H_fvg_midpoint,continuation,EMITTED,fvg_fill,2
GBR-006825,GEP-001550,GBR-006821,H_fvg_full_fill,continuation,EMITTED,fvg_fill,2
GBR-006826,GEP-001303,GBR-005759,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006827,GEP-001303,GBR-005759,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006828,GEP-001303,GBR-005759,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006829,GEP-001524,GBR-006725,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006830,GEP-001524,GBR-006725,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006831,GEP-001524,GBR-006725,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006832,GEP-001304,GBR-005764,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006833,GEP-001304,GBR-005764,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006834,GEP-001304,GBR-005764,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006835,GEP-001551,,H_fvg_no_fill_continuation,continuation,INVALIDATED,context_invalidated,1
GBR-006836,GEP-001551,GBR-006835,H_fvg_first_touch,continuation,EMITTED,fvg_fill,2
GBR-006837,GEP-001551,GBR-006835,H_fvg_first_fill,continuation,EMITTED,fvg_fill,2
GBR-006838,GEP-001551,GBR-006835,H_fvg_midpoint,continuation,EMITTED,fvg_fill,2
GBR-006839,GEP-001551,GBR-006835,H_fvg_full_fill,continuation,EMITTED,fvg_fill,2
GBR-006840,GEP-001547,GBR-006815,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006841,GEP-001547,GBR-006815,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006842,GEP-001547,GBR-006815,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006843,GEP-001552,,H_rb_reaction_continuation,continuation,INVALIDATED,opposing_move,2
GBR-006844,GEP-001552,GBR-006843,H_rb_fvg_fill_continuation,continuation,INVALIDATED,opposing_move,2
GBR-006845,GEP-001552,GBR-006843,H_rb_unresolved_fade,fade,INVALIDATED,origin_invalidated,3
GBR-006846,GEP-001553,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006847,GEP-001553,GBR-006846,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006851,GEP-001553,GBR-006846,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006852,GEP-001553,GBR-006846,H_liquidity_sweep_reclaim_fade,fade,EXPIRED,inactive,1
GBR-006853,GEP-001553,GBR-006846,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006854,GEP-001555,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006855,GEP-001555,GBR-006854,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006856,GEP-001556,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006857,GEP-001556,GBR-006856,H_liquidity_break_failed_fade,fade,EXPIRED,inactive,1
GBR-006858,GEP-001555,GBR-006854,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006859,GEP-001555,GBR-006854,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006860,GEP-001555,GBR-006854,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006861,GEP-001557,GBR-006821,H_ifvg_immediate,fade,EMITTED,ifvg_activation,3
GBR-006862,GEP-001557,GBR-006821,H_ifvg_next_bar,fade,EMITTED,ifvg_activation,3
GBR-006863,GEP-001557,GBR-006821,H_ifvg_retest,fade,EMITTED,ifvg_retest,4
GBR-006864,GEP-001558,GBR-006835,H_ifvg_immediate,fade,EMITTED,ifvg_activation,3
GBR-006865,GEP-001558,GBR-006835,H_ifvg_next_bar,fade,EMITTED,ifvg_activation,3
GBR-006866,GEP-001558,GBR-006835,H_ifvg_retest,fade,EXPIRED,inactive,3
GBR-006867,GEP-001559,,H_fvg_formation_close,continuation,EMITTED,fvg_formation,1
GBR-006868,GEP-001559,GBR-006867,H_fvg_next_bar,continuation,EMITTED,fvg_formation,1
GBR-006869,GEP-001559,GBR-006867,H_fvg_no_fill_continuation,continuation,EMITTED,fvg_no_fill,2
GBR-006870,GEP-001559,GBR-006867,H_fvg_first_touch,continuation,EXPIRED,inactive,1
GBR-006871,GEP-001559,GBR-006867,H_fvg_first_fill,continuation,EXPIRED,inactive,1
GBR-006872,GEP-001559,GBR-006867,H_fvg_midpoint,continuation,EXPIRED,inactive,1
GBR-006873,GEP-001559,GBR-006867,H_fvg_full_fill,continuation,EXPIRED,inactive,1
GBR-006874,GEP-001525,GBR-006727,H_vwap_break_accept_continuation,continuation,EXPIRED,inactive,1
GBR-006875,GEP-001560,GBR-006792,H_ifvg_immediate,fade,EMITTED,ifvg_activation,3
GBR-006876,GEP-001560,GBR-006792,H_ifvg_next_bar,fade,EMITTED,ifvg_activation,3
GBR-006877,GEP-001560,GBR-006792,H_ifvg_retest,fade,EMITTED,ifvg_retest,4
GBR-006878,GEP-001561,GBR-006804,H_ifvg_immediate,fade,EMITTED,ifvg_activation,3
GBR-006879,GEP-001561,GBR-006804,H_ifvg_next_bar,fade,EMITTED,ifvg_activation,3
GBR-006880,GEP-001561,GBR-006804,H_ifvg_retest,fade,EMITTED,ifvg_retest,4
GBR-006881,GEP-001548,GBR-006817,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006882,GEP-001548,GBR-006817,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006883,GEP-001548,GBR-006817,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006884,GEP-001549,GBR-006819,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006885,GEP-001549,GBR-006819,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006886,GEP-001549,GBR-006819,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006887,GEP-001562,GBR-006778,H_ifvg_immediate,fade,EMITTED,ifvg_activation,3
GBR-006888,GEP-001562,GBR-006778,H_ifvg_next_bar,fade,EMITTED,ifvg_activation,3
GBR-006889,GEP-001562,GBR-006778,H_ifvg_retest,fade,EMITTED,ifvg_retest,4
GBR-006890,GEP-001563,GBR-006787,H_ifvg_immediate,fade,EMITTED,ifvg_activation,3
GBR-006891,GEP-001563,GBR-006787,H_ifvg_next_bar,fade,EMITTED,ifvg_activation,3
GBR-006892,GEP-001563,GBR-006787,H_ifvg_retest,fade,EMITTED,ifvg_retest,4
GBR-006893,GEP-001520,GBR-006706,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006894,GEP-001520,GBR-006706,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006895,GEP-001520,GBR-006706,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006896,GEP-001534,GBR-006765,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006897,GEP-001534,GBR-006765,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006898,GEP-001534,GBR-006765,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006899,GEP-001564,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006900,GEP-001564,GBR-006899,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006901,GEP-001565,,H_fvg_no_fill_continuation,continuation,INVALIDATED,opposing_move,1
GBR-006902,GEP-001565,GBR-006901,H_fvg_first_touch,continuation,EMITTED,fvg_fill,2
GBR-006903,GEP-001565,GBR-006901,H_fvg_first_fill,continuation,EMITTED,fvg_fill,2
GBR-006904,GEP-001565,GBR-006901,H_fvg_midpoint,continuation,EMITTED,fvg_fill,2
GBR-006905,GEP-001565,GBR-006901,H_fvg_full_fill,continuation,EMITTED,fvg_fill,2
GBR-006906,GEP-001566,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006907,GEP-001566,GBR-006906,H_liquidity_break_failed_fade,fade,EXPIRED,inactive,1
GBR-006908,GEP-001567,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006909,GEP-001567,GBR-006908,H_liquidity_break_failed_fade,fade,EXPIRED,inactive,1
GBR-006910,GEP-001568,GBR-006901,H_ifvg_immediate,fade,EMITTED,ifvg_activation,3
GBR-006911,GEP-001568,GBR-006901,H_ifvg_next_bar,fade,EMITTED,ifvg_activation,3
GBR-006912,GEP-001568,GBR-006901,H_ifvg_retest,fade,EMITTED,ifvg_retest,4
GBR-006913,GEP-001569,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006914,GEP-001569,GBR-006913,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006915,GEP-001569,GBR-006913,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006916,GEP-001569,GBR-006913,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006917,GEP-001569,GBR-006913,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006918,GEP-001570,,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006919,GEP-001570,GBR-006918,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006920,GEP-001570,GBR-006918,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006921,GEP-001570,GBR-006918,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006922,GEP-001570,GBR-006918,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006923,GEP-001571,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006924,GEP-001571,GBR-006923,H_liquidity_break_failed_fade,fade,EXPIRED,inactive,1
GBR-006925,GEP-001572,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006926,GEP-001572,GBR-006925,H_liquidity_break_failed_fade,fade,EXPIRED,inactive,1
GBR-006927,GEP-001573,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006928,GEP-001573,GBR-006927,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006929,GEP-001574,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006930,GEP-001574,GBR-006929,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006931,GEP-001571,GBR-006923,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006932,GEP-001571,GBR-006923,H_liquidity_sweep_reclaim_fade,fade,EXPIRED,inactive,1
GBR-006933,GEP-001571,GBR-006923,H_liquidity_sweep_accept_continuation,continuation,EXPIRED,inactive,1
GBR-006934,GEP-001575,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006935,GEP-001575,GBR-006934,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006936,GEP-001567,GBR-006908,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006937,GEP-001567,GBR-006908,H_liquidity_sweep_reclaim_fade,fade,EXPIRED,inactive,1
GBR-006938,GEP-001567,GBR-006908,H_liquidity_sweep_accept_continuation,continuation,EXPIRED,inactive,1
GBR-006939,GEP-001572,GBR-006925,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006940,GEP-001572,GBR-006925,H_liquidity_sweep_reclaim_fade,fade,EXPIRED,inactive,1
GBR-006941,GEP-001572,GBR-006925,H_liquidity_sweep_accept_continuation,continuation,EXPIRED,inactive,1
GBR-006942,GEP-001573,GBR-006927,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006943,GEP-001573,GBR-006927,H_liquidity_sweep_reclaim_fade,fade,EXPIRED,inactive,1
GBR-006944,GEP-001573,GBR-006927,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006945,GEP-001575,GBR-006934,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006946,GEP-001575,GBR-006934,H_liquidity_sweep_reclaim_fade,fade,EXPIRED,inactive,1
GBR-006947,GEP-001575,GBR-006934,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006948,GEP-001574,GBR-006929,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006949,GEP-001574,GBR-006929,H_liquidity_sweep_reclaim_fade,fade,EXPIRED,inactive,1
GBR-006950,GEP-001574,GBR-006929,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006954,GEP-001577,GBR-006773,H_ifvg_immediate,fade,EMITTED,ifvg_activation,3
GBR-006955,GEP-001577,GBR-006773,H_ifvg_next_bar,fade,EMITTED,ifvg_activation,3
GBR-006956,GEP-001577,GBR-006773,H_ifvg_retest,fade,EMITTED,ifvg_retest,4
GBR-006957,GEP-001578,,H_fvg_formation_close,continuation,EMITTED,fvg_formation,1
GBR-006958,GEP-001578,GBR-006957,H_fvg_next_bar,continuation,EMITTED,fvg_formation,1
GBR-006959,GEP-001578,GBR-006957,H_fvg_no_fill_continuation,continuation,INVALIDATED,context_invalidated,1
GBR-006960,GEP-001578,GBR-006957,H_fvg_first_touch,continuation,EMITTED,fvg_fill,2
GBR-006961,GEP-001578,GBR-006957,H_fvg_first_fill,continuation,EMITTED,fvg_fill,2
GBR-006962,GEP-001578,GBR-006957,H_fvg_midpoint,continuation,EMITTED,fvg_fill,2
GBR-006963,GEP-001578,GBR-006957,H_fvg_full_fill,continuation,EMITTED,fvg_fill,2
GBR-006964,GEP-001579,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006965,GEP-001579,GBR-006964,H_liquidity_break_failed_fade,fade,EXPIRED,inactive,1
GBR-006966,GEP-001539,GBR-006783,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006967,GEP-001539,GBR-006783,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006968,GEP-001539,GBR-006783,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006969,GEP-001540,GBR-006785,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006970,GEP-001540,GBR-006785,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006971,GEP-001540,GBR-006785,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006972,GEP-001580,,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006973,GEP-001580,GBR-006972,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006974,GEP-001580,GBR-006972,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006975,GEP-001580,GBR-006972,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006976,GEP-001580,GBR-006972,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006977,GEP-001581,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006978,GEP-001581,GBR-006977,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006979,GEP-001582,,H_fvg_no_fill_continuation,continuation,INVALIDATED,context_invalidated,1
GBR-006980,GEP-001582,GBR-006979,H_fvg_first_touch,continuation,EMITTED,fvg_fill,2
GBR-006981,GEP-001582,GBR-006979,H_fvg_first_fill,continuation,EMITTED,fvg_fill,2
GBR-006982,GEP-001582,GBR-006979,H_fvg_midpoint,continuation,EMITTED,fvg_fill,2
GBR-006983,GEP-001582,GBR-006979,H_fvg_full_fill,continuation,EMITTED,fvg_fill,2
GBR-006984,GEP-001583,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
GBR-006985,GEP-001583,GBR-006984,H_liquidity_break_failed_fade,fade,EMITTED,break_failed_fade,2
GBR-006986,GEP-001584,,H_fvg_no_fill_continuation,continuation,EMITTED,fvg_no_fill,2
GBR-006987,GEP-001584,GBR-006986,H_fvg_first_touch,continuation,EMITTED,fvg_fill,2
GBR-006988,GEP-001584,GBR-006986,H_fvg_first_fill,continuation,EMITTED,fvg_fill,2
GBR-006989,GEP-001584,GBR-006986,H_fvg_midpoint,continuation,EMITTED,fvg_fill,2
GBR-006990,GEP-001584,GBR-006986,H_fvg_full_fill,continuation,EMITTED,fvg_fill,2
GBR-006991,GEP-001583,GBR-006984,H_liquidity_sweep_reject_fade,fade,EMITTED,sweep_fade,1
GBR-006992,GEP-001583,GBR-006984,H_liquidity_sweep_reclaim_fade,fade,EMITTED,sweep_reclaim_fade,2
GBR-006993,GEP-001583,GBR-006984,H_liquidity_sweep_accept_continuation,continuation,EMITTED,sweep_accept_cont,2
GBR-006994,GEP-001585,GBR-006979,H_ifvg_immediate,fade,EMITTED,ifvg_activation,3
GBR-006995,GEP-001585,GBR-006979,H_ifvg_next_bar,fade,EMITTED,ifvg_activation,3
GBR-006996,GEP-001585,GBR-006979,H_ifvg_retest,fade,EMITTED,ifvg_retest,4
GBR-006997,GEP-001586,,H_liquidity_break_accept_continuation,continuation,EMITTED,break_accept_cont,2
